"A Stone Without Hands", "The Lesser Light Collective", "The King Dreams", "https://i.scdn.co/image/4db32cb66e39cb57a1262db4ded23d3a9a4b0a1e", "https://p.scdn.co/mp3-preview/ccd6c1bb8fe5768f3cd78234a4c8c2b901633a5f",
"Everlasting", "Eric & Monique", "Everlasting", "https://i.scdn.co/image/01fc3ef97fe24250ab334ee1dbf18dd3341f7709", "https://p.scdn.co/mp3-preview/d0aad674e31c2cadcffd7c3ad4f63ba30e964490",
"Seu Nome", "Alexandre Magnani", "Seu Nome - Single", "https://i.scdn.co/image/01a9cf91dc10ca478bf3823ea21e97e0b178de2e", "https://p.scdn.co/mp3-preview/3fb8704b5085fda6a0cab765d6a246c4b188fd31",
"We Don't Know", "The Merrys", "Song For The Sea", "https://i.scdn.co/image/6bf41d7148ef1f279c8fb4c5b1054fcde2c528ce", "https://p.scdn.co/mp3-preview/294fd09554b2117f15828f4eea0620393b77559f",
"Cardiomegalia", "Daniel Salles", "Renascido", "https://i.scdn.co/image/9a6fb29028b1fbea960080f182f9951556af35a3", "https://p.scdn.co/mp3-preview/28f2d21f0cc566452b4d03952b2e5917c882c935",
"Open Sea", "Billy Otto", "Floating Now", "https://i.scdn.co/image/b7b9856c7f0b86351a1b59d551340875783480a6", "https://p.scdn.co/mp3-preview/23db3b14b434d89e543d90de775d781ad8021e18",
"Que Tempo Já Faz", "Art Trio", "Hinos", "https://i.scdn.co/image/fd813c1e9bc81471fcd97ad141909c33c72c3ae8", "https://p.scdn.co/mp3-preview/4f671891117fc0f3c15b1cc043af49c4d029200d",
"Come Away", "Bryan McCleery", "Come Away", "https://i.scdn.co/image/885ca1f8a8cfc627922dfcf6ca9e4957abd27d2f", "https://p.scdn.co/mp3-preview/304274b9f0c02d2a50bda7221df633cdbab8fc60",
"Jeremias", "Gabriel Iglesias", "Pedra em Carne", "https://i.scdn.co/image/eb91f5d7b7cc0afcd60296623549ec744edba0f7", "https://p.scdn.co/mp3-preview/01723643b23f459c34c99a933c4332c461d893ec"
